event_number;event;event_date_time_utc;event_date_time_mez;transaction_id;transaction_explorer_url;transaction_explorer_url_link;transaction_fee_btc;address_index;address_type;address;address_value_btc;address_owner;address_explorer_url;address_explorer_url_link;blockheight;blockhash;exchange_name;exchange_type;wallet_account_number;wallet_account_name;derivation_path;wallet_account_extended_public_key_1;master_fingerprint_1;wallet_account_extended_public_key_2;master_fingerprint_2;exchange_rate_btc_euro;exchange_fee_btc;exchange_fee_euro;amount_btc;amount_euro;description_owner;description_authority;document_1;document_2;document_3;document_4;document_5;document_6;document_7;document_8;document_9;document_10;document_11;document_12
;transaction;2026-05-18T12:53:34+00:00;2026-05-18 14:53:34;a1ef55cc86c0596b55ca92360715a57071cb3d598571013b51121eed4d2642c7;https://mempool.space/tx/a1ef55cc86c0596b55ca92360715a57071cb3d598571013b51121eed4d2642c7;;0,00002820;0;input;bc1qryhgpmfv03qjhhp2dj8nw8g4ewg08jzmgy3cyx;0,22418441;;https://mempool.space/address/bc1qryhgpmfv03qjhhp2dj8nw8g4ewg08jzmgy3cyx;;949943;00000000000000000000ee65230d132dfddb0e6b057376ec79c0feff371a2ea2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;transaction;2026-05-18T12:53:34+00:00;2026-05-18 14:53:34;a1ef55cc86c0596b55ca92360715a57071cb3d598571013b51121eed4d2642c7;https://mempool.space/tx/a1ef55cc86c0596b55ca92360715a57071cb3d598571013b51121eed4d2642c7;;0,00002820;0;output;bc1qgp6atmxkj2e22t6dx30fd0348gd69wpgq3uytl;0,00259790;;https://mempool.space/address/bc1qgp6atmxkj2e22t6dx30fd0348gd69wpgq3uytl;;949943;00000000000000000000ee65230d132dfddb0e6b057376ec79c0feff371a2ea2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;transaction;2026-05-18T12:53:34+00:00;2026-05-18 14:53:34;a1ef55cc86c0596b55ca92360715a57071cb3d598571013b51121eed4d2642c7;https://mempool.space/tx/a1ef55cc86c0596b55ca92360715a57071cb3d598571013b51121eed4d2642c7;;0,00002820;1;output;bc1qryhgpmfv03qjhhp2dj8nw8g4ewg08jzmgy3cyx;0,22155831;;https://mempool.space/address/bc1qryhgpmfv03qjhhp2dj8nw8g4ewg08jzmgy3cyx;;949943;00000000000000000000ee65230d132dfddb0e6b057376ec79c0feff371a2ea2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
